YearBuilt,Elevators,Area,Manager,Floor,APT,FacilitiesNearBy(PublicOffice),FacilitiesNearBy(Mall),FacilitiesNearBy(Hospital),FacilitiesNearBy(Park),FacilitiesNearBy(DepartmentStore),FacilitiesInApt,Parkinglot(Ground),Parkinglot(Basement),TimeToBusStop,TimeToSubway,SchoolNearBy(Elementary),SchoolNearBy(High),SchoolNearBy(Middle),SchoolNearBy(University),SalePrice
1986,27,1131,8,7,7,5,,1,1,1,4,713,,6,4,3,1,1,1,149557
2007,16,868,14,22,7,3,1,1,2,2,1,,127,0,10,3,2,3,2,27964
1986,27,1377,8,2,7,5,,1,1,1,4,713,,11,30,3,1,1,1,141592
1986,27,914,8,5,7,5,,1,1,1,4,713,,19,24,3,1,1,1,14469
1986,27,1377,8,4,7,5,,1,1,1,4,713,,7,1,3,1,1,1,176991
2009,5,91,2,4,1,2,,1,1,,5,25,23,10,8,2,1,1,1,163716
2009,5,91,2,3,1,2,,1,1,,5,25,23,1,15,2,1,1,1,163716
2009,5,91,2,7,1,2,,1,1,,5,25,23,25,11,2,1,1,1,163716
2009,5,91,2,3,1,2,,1,1,,5,25,23,23,12,2,1,1,1,156637
2009,5,91,2,5,1,2,,1,1,,5,25,23,8,29,2,1,1,1,161238
2009,5,91,2,2,1,2,,1,1,,5,25,23,11,7,2,1,1,1,15397
2009,5,91,2,4,1,2,,1,1,,5,25,23,10,17,2,1,1,1,163716
2009,5,91,2,3,1,2,,1,1,,5,25,23,23,6,2,1,1,1,15539
2009,5,116,2,1,1,2,,1,1,,5,25,23,20,5,2,1,1,1,212389
2009,5,91,2,3,1,2,,1,1,,5,25,23,0,5,2,1,1,1,159557
2009,5,116,2,2,1,2,,1,1,,5,25,23,15,13,2,1,1,1,29734
2009,5,116,2,2,1,2,,1,1,,5,25,23,25,16,2,1,1,1,21619
2009,5,91,2,2,1,2,,1,1,,5,25,23,15,21,2,1,1,1,157876
2009,5,116,2,8,1,2,,1,1,,5,25,23,23,8,2,1,1,1,27964
2009,5,91,2,1,1,2,,1,1,,5,25,23,0,23,2,1,1,1,156194
2009,5,116,2,9,1,2,,1,1,,5,25,23,13,4,2,1,1,1,21265
2009,5,91,2,18,1,2,,1,1,,5,25,23,28,25,2,1,1,1,23646
2003,4,97,2,8,1,7,1,1,1,2,5,82,56,16,29,4,,,3,1238
2006,,811,3,17,3,2,1,1,,1,5,111,184,4,1,3,2,2,2,173451
2006,11,914,5,1,6,1,1,1,,,5,249,536,24,10,2,1,2,2,168141
2006,11,1412,5,19,6,1,1,1,,,5,249,536,15,13,2,1,2,2,26161
2007,1,1366,5,13,3,2,2,2,1,2,4,554,524,20,22,2,2,2,2,256637
2007,1,1366,5,15,3,2,2,2,1,2,4,554,524,4,27,2,2,2,2,254867
2005,,914,6,19,8,5,1,2,,,7,67,798,24,18,3,4,4,4,168761
1993,2,644,8,4,8,6,1,2,,,4,523,536,21,6,4,5,3,5,83628
2008,14,829,6,6,6,3,1,1,1,1,8,197,475,27,21,2,2,3,2,161946
1993,2,644,8,16,8,6,1,2,,,4,523,536,12,14,4,5,3,5,83628
1993,2,644,8,16,8,6,1,2,,,4,523,536,16,12,4,5,3,5,75221
1993,2,914,8,2,8,6,1,2,,,4,523,536,13,28,4,5,3,5,121238
1992,1,644,5,6,3,7,1,1,1,1,3,2,,16,14,4,5,3,5,65486
2005,,1184,6,13,8,5,1,2,,,7,67,798,3,27,3,4,4,4,19469
1993,2,644,8,13,8,6,1,2,,,4,523,536,11,22,4,5,3,5,93362
1992,8,914,4,12,3,5,1,1,,1,3,142,79,30,24,3,4,3,4,1779
1992,1,576,5,15,3,7,1,1,1,1,3,2,,22,0,4,5,3,5,57522
2005,,914,6,11,8,5,1,2,,,7,67,798,9,26,3,4,4,4,169911
2005,,914,6,4,8,5,1,2,,,7,67,798,9,19,3,4,4,4,16176
2005,,914,6,19,8,5,1,2,,,7,67,798,13,3,3,4,4,4,166371
2005,,914,6,16,8,5,1,2,,,7,67,798,28,25,3,4,4,4,159292
1993,2,644,8,12,8,6,1,2,,,4,523,536,30,14,4,5,3,5,86725
2005,,743,6,1,8,5,1,2,,,7,67,798,22,30,3,4,4,4,122123
1992,1,355,5,8,3,7,1,1,1,1,3,2,,14,15,4,5,3,5,36283
2007,1,914,5,28,3,2,2,2,1,2,4,554,524,2,29,2,2,2,2,19292
1992,1,576,5,3,3,7,1,1,1,1,3,2,,19,24,4,5,3,5,64159
1993,2,1451,8,15,8,6,1,2,,,4,523,536,0,15,4,5,3,5,169911
1993,2,644,8,1,8,6,1,2,,,4,523,536,30,1,4,5,3,5,75221
2005,,743,6,12,8,5,1,2,,,7,67,798,17,1,3,4,4,4,14265
2008,14,914,6,19,6,3,1,1,1,1,8,197,475,22,4,2,2,3,2,16926
2005,,914,6,17,8,5,1,2,,,7,67,798,24,26,3,4,4,4,163716
2005,,914,6,23,8,5,1,2,,,7,67,798,27,23,3,4,4,4,172566
1993,2,1451,8,15,8,6,1,2,,,4,523,536,20,18,4,5,3,5,132743
1993,2,914,8,19,8,6,1,2,,,4,523,536,21,18,4,5,3,5,123893
2007,16,868,14,22,7,3,1,1,2,2,1,,127,0,25,3,2,3,2,238938
2007,16,1387,14,11,7,3,1,1,2,2,1,,127,12,1,3,2,3,2,286725
2007,16,868,14,9,7,3,1,1,2,2,1,,127,1,29,3,2,3,2,29734
2007,16,1519,14,2,7,3,1,1,2,2,1,,127,21,16,3,2,3,2,3853
2007,16,868,14,16,7,3,1,1,2,2,1,,127,29,2,3,2,3,2,27964
2007,16,1387,14,22,7,3,1,1,2,2,1,,127,20,18,3,2,3,2,318584
2007,16,868,14,23,7,3,1,1,2,2,1,,127,2,2,3,2,3,2,26194
2009,5,116,2,6,1,2,,1,1,,5,25,23,24,13,2,1,1,1,21265
2009,5,116,2,8,1,2,,1,1,,5,25,23,12,13,2,1,1,1,28849
2009,5,116,2,5,1,2,,1,1,,5,25,23,14,7,2,1,1,1,28849
2009,5,116,2,5,1,2,,1,1,,5,25,23,19,9,2,1,1,1,27522
1985,2,587,2,6,1,5,1,1,1,2,3,8,76,24,22,2,1,1,,57964
1985,2,587,2,9,1,5,1,1,1,2,3,8,76,15,21,2,1,1,,55752
2006,11,1437,5,29,6,1,1,1,,,5,249,536,16,12,2,1,2,2,26161
2006,11,1437,5,3,6,1,1,1,,,5,249,536,10,22,2,1,2,2,234513
2006,11,818,5,19,6,1,1,1,,,5,249,536,25,10,2,1,2,2,181415
2006,11,1437,5,16,6,1,1,1,,,5,249,536,17,10,2,1,2,2,26176
1993,2,914,8,23,8,6,1,2,,,4,523,536,0,29,4,5,3,5,123893
2007,1,113,5,22,3,2,2,2,1,2,4,554,524,1,12,2,2,2,2,199115
1993,2,644,8,8,8,6,1,2,,,4,523,536,26,6,4,5,3,5,9115
2005,,743,6,8,8,5,1,2,,,7,67,798,4,27,3,4,4,4,125663
2005,,743,6,2,8,5,1,2,,,7,67,798,29,20,3,4,4,4,145486
1993,2,1451,8,19,8,6,1,2,,,4,523,536,20,7,4,5,3,5,163716
2005,,743,6,19,8,5,1,2,,,7,67,798,16,18,3,4,4,4,147787
2008,14,829,6,13,6,3,1,1,1,1,8,197,475,28,25,2,2,3,2,165486
1993,2,914,8,21,8,6,1,2,,,4,523,536,16,3,4,5,3,5,131858
1993,2,914,8,12,8,6,1,2,,,4,523,536,11,8,4,5,3,5,1238
2007,1,1419,5,6,3,2,2,2,1,2,4,554,524,3,28,2,2,2,2,236725
2005,,914,6,22,8,5,1,2,,,7,67,798,3,15,3,4,4,4,155752
1992,1,576,5,14,3,7,1,1,1,1,3,2,,21,24,4,5,3,5,5847
1993,2,644,8,1,8,6,1,2,,,4,523,536,30,4,4,5,3,5,91592
1993,2,1288,8,19,8,6,1,2,,,4,523,536,20,12,4,5,3,5,181415
1993,2,914,8,15,8,6,1,2,,,4,523,536,2,0,4,5,3,5,124778
1993,2,1451,8,25,8,6,1,2,,,4,523,536,13,25,4,5,3,5,176991
1992,1,64,5,4,3,7,1,1,1,1,3,2,,22,2,4,5,3,5,63716
2007,1,113,5,3,3,2,2,2,1,2,4,554,524,16,28,2,2,2,2,22796
1992,8,914,4,6,3,5,1,1,,1,3,142,79,25,1,3,4,3,4,16194
1993,2,914,8,9,8,6,1,2,,,4,523,536,10,4,4,5,3,5,122123
1992,1,576,5,11,3,7,1,1,1,1,3,2,,12,9,4,5,3,5,6176
1993,2,2337,8,6,8,6,1,2,,,4,523,536,20,11,4,5,3,5,219469
1993,2,644,8,2,8,6,1,2,,,4,523,536,9,25,4,5,3,5,77876
1993,2,644,8,6,8,6,1,2,,,4,523,536,23,2,4,5,3,5,83185
2007,1,113,5,22,3,2,2,2,1,2,4,554,524,17,29,2,2,2,2,227433
1993,2,644,8,15,8,6,1,2,,,4,523,536,4,2,4,5,3,5,9265
1992,1,64,5,8,3,7,1,1,1,1,3,2,,7,26,4,5,3,5,6461
1993,2,644,8,3,8,6,1,2,,,4,523,536,10,30,4,5,3,5,9235
1993,2,914,8,11,8,6,1,2,,,4,523,536,28,23,4,5,3,5,128318
1986,27,1131,8,8,7,5,,1,1,1,4,713,,25,14,3,1,1,1,162831
2006,11,93,3,15,3,3,1,1,,1,4,123,181,4,0,4,3,3,1,18761
1986,27,1377,8,3,7,5,,1,1,1,4,713,,7,15,3,1,1,1,19265
1978,4,93,1,11,2,3,1,2,,1,3,87,,12,1,3,3,3,2,128318
2007,16,1643,14,27,7,3,1,1,2,2,1,,127,15,16,3,2,3,2,428318
1986,27,1377,8,1,7,5,,1,1,1,4,713,,20,5,3,1,1,1,29734
2007,16,868,14,11,7,3,1,1,2,2,1,,127,13,5,3,2,3,2,23539
2007,16,1643,14,26,7,3,1,1,2,2,1,,127,15,25,3,2,3,2,428318
2007,16,1387,14,1,7,3,1,1,2,2,1,,127,9,26,3,2,3,2,318584
2009,5,91,2,12,1,2,,1,1,,5,25,23,29,16,2,1,1,1,141592
2009,5,91,2,1,1,2,,1,1,,5,25,23,14,24,2,1,1,1,16161
2009,5,116,2,4,1,2,,1,1,,5,25,23,17,12,2,1,1,1,27964
2007,5,1444,5,25,2,4,1,1,1,2,5,7,65,29,2,2,1,1,1,39469
2007,5,1273,5,15,2,4,1,1,1,2,5,7,65,1,26,2,1,1,1,317699
2007,5,1334,5,14,2,4,1,1,1,2,5,7,65,12,23,2,1,1,1,347787
2007,5,1273,5,25,2,4,1,1,1,2,5,7,65,11,13,2,1,1,1,327433
2006,11,818,5,4,6,1,1,1,,,5,249,536,28,7,2,1,2,2,151327
1992,1,355,5,8,3,7,1,1,1,1,3,2,,25,9,4,5,3,5,3938
1993,2,644,8,1,8,6,1,2,,,4,523,536,11,30,4,5,3,5,79646
1993,2,1288,8,9,8,6,1,2,,,4,523,536,21,26,4,5,3,5,181415
1993,2,1451,8,13,8,6,1,2,,,4,523,536,6,24,4,5,3,5,174336
1992,1,644,5,11,3,7,1,1,1,1,3,2,,27,30,4,5,3,5,63716
2008,14,914,6,3,6,3,1,1,1,1,8,197,475,19,21,2,2,3,2,176991
1992,1,64,5,11,3,7,1,1,1,1,3,2,,0,6,4,5,3,5,61946
1992,1,355,5,15,3,7,1,1,1,1,3,2,,11,26,4,5,3,5,3853
1993,2,644,8,18,8,6,1,2,,,4,523,536,6,28,4,5,3,5,823
1993,2,914,8,15,8,6,1,2,,,4,523,536,15,30,4,5,3,5,131415
2005,,1184,6,14,8,5,1,2,,,7,67,798,16,10,3,4,4,4,212389
1992,1,576,5,8,3,7,1,1,1,1,3,2,,0,2,4,5,3,5,63716
2005,,914,6,12,8,5,1,2,,,7,67,798,30,25,3,4,4,4,168141
1993,2,914,8,11,8,6,1,2,,,4,523,536,6,23,4,5,3,5,123893
1993,2,644,8,19,8,6,1,2,,,4,523,536,30,10,4,5,3,5,95575
1992,1,576,5,14,3,7,1,1,1,1,3,2,,26,7,4,5,3,5,62831
1992,1,64,5,15,3,7,1,1,1,1,3,2,,6,1,4,5,3,5,66371
1992,1,355,5,11,3,7,1,1,1,1,3,2,,13,3,4,5,3,5,3584
2007,1,914,5,29,3,2,2,2,1,2,4,554,524,6,11,2,2,2,2,193362
2008,14,829,6,9,6,3,1,1,1,1,8,197,475,28,15,2,2,3,2,16461
2005,,743,6,2,8,5,1,2,,,7,67,798,20,17,3,4,4,4,124778
2007,16,868,14,18,7,3,1,1,2,2,1,,127,22,9,3,2,3,2,232743
2007,16,868,14,25,7,3,1,1,2,2,1,,127,24,11,3,2,3,2,215486
1978,4,93,1,3,2,3,1,2,,1,3,87,,29,24,3,3,3,2,13539
2007,16,868,14,21,7,3,1,1,2,2,1,,127,0,26,3,2,3,2,23761
2006,11,1192,3,15,3,3,1,1,,1,4,123,181,8,9,4,3,3,1,2423
1986,27,1131,8,8,7,5,,1,1,1,4,713,,15,6,3,1,1,1,172566
1986,27,914,8,7,7,5,,1,1,1,4,713,,24,0,3,1,1,1,14692
2007,16,1387,14,2,7,3,1,1,2,2,1,,127,17,28,3,2,3,2,34617
2007,16,1519,14,22,7,3,1,1,2,2,1,,127,20,18,3,2,3,2,39823
2007,16,868,14,18,7,3,1,1,2,2,1,,127,11,29,3,2,3,2,22654
1997,4,644,2,9,1,7,1,1,1,2,5,82,56,27,20,4,,,3,78761
1997,4,644,2,13,1,7,1,1,1,2,5,82,56,3,1,4,,,3,83185
1997,4,558,2,9,1,7,1,1,1,2,5,82,56,9,7,4,,,3,68141
1980,2,16,7,2,1,7,1,1,,,9,9,1174,2,3,4,5,3,5,9292
2009,5,91,2,1,1,2,,1,1,,5,25,23,14,9,2,1,1,1,15397
2006,,91,3,2,3,2,1,1,,1,5,111,184,30,4,3,2,2,2,176991
2006,,811,3,14,3,2,1,1,,1,5,111,184,19,3,3,2,2,2,16461
2007,5,1273,5,26,2,4,1,1,1,2,5,7,65,17,15,2,1,1,1,337168
2007,5,1444,5,5,2,4,1,1,1,2,5,7,65,29,23,2,1,1,1,36176
2007,5,1334,5,5,2,4,1,1,1,2,5,7,65,7,3,2,1,1,1,326548
2007,5,1483,5,19,2,4,1,1,1,2,5,7,65,6,16,2,1,1,1,383185
2006,11,818,5,8,6,1,1,1,,,5,249,536,12,0,2,1,2,2,181858
2006,11,818,5,6,6,1,1,1,,,5,249,536,18,22,2,1,2,2,176991
2006,11,914,5,1,6,1,1,1,,,5,249,536,30,27,2,1,2,2,197345
1993,2,2337,8,8,8,6,1,2,,,4,523,536,29,16,4,5,3,5,21327
1993,2,644,8,8,8,6,1,2,,,4,523,536,5,30,4,5,3,5,78761
1992,8,914,4,12,3,5,1,1,,1,3,142,79,25,4,3,4,3,4,17522
2005,,914,6,2,8,5,1,2,,,7,67,798,1,21,3,4,4,4,173893
1993,2,644,8,2,8,6,1,2,,,4,523,536,12,16,4,5,3,5,83185
2008,14,914,6,1,6,3,1,1,1,1,8,197,475,0,4,2,2,3,2,172566
1992,1,355,5,4,3,7,1,1,1,1,3,2,,21,26,4,5,3,5,36283
1993,2,644,8,17,8,6,1,2,,,4,523,536,26,13,4,5,3,5,9646
1992,1,576,5,1,3,7,1,1,1,1,3,2,,4,6,4,5,3,5,5397
1993,2,644,8,12,8,6,1,2,,,4,523,536,13,16,4,5,3,5,9292
2005,,914,6,21,8,5,1,2,,,7,67,798,7,11,3,4,4,4,1888
2008,14,914,6,11,6,3,1,1,1,1,8,197,475,0,16,2,2,3,2,172566
2007,16,868,14,5,7,3,1,1,2,2,1,,127,24,17,3,2,3,2,19469
2007,16,1387,14,8,7,3,1,1,2,2,1,,127,13,25,3,2,3,2,333628
2007,16,868,14,8,7,3,1,1,2,2,1,,127,15,6,3,2,3,2,19469
2007,16,1643,14,22,7,3,1,1,2,2,1,,127,30,11,3,2,3,2,428318
2007,16,1387,14,21,7,3,1,1,2,2,1,,127,4,22,3,2,3,2,3238
2007,16,1387,14,13,7,3,1,1,2,2,1,,127,24,12,3,2,3,2,3
2006,11,857,3,4,3,3,1,1,,1,4,123,181,17,7,4,3,3,1,141592
2007,16,868,14,1,7,3,1,1,2,2,1,,127,21,14,3,2,3,2,19235
1997,4,644,2,8,1,7,1,1,1,2,5,82,56,23,8,4,,,3,76991
1997,4,644,2,14,1,7,1,1,1,2,5,82,56,27,11,4,,,3,75221
2009,5,116,2,6,1,2,,1,1,,5,25,23,14,2,2,1,1,1,29734
2009,5,116,2,4,1,2,,1,1,,5,25,23,15,12,2,1,1,1,2779
2006,,91,3,13,3,2,1,1,,1,5,111,184,6,11,3,2,2,2,197345
2007,5,1334,5,9,2,4,1,1,1,2,5,7,65,13,28,2,1,1,1,337168
2007,5,169,5,25,2,4,1,1,1,2,5,7,65,1,20,2,1,1,1,462831
2007,5,169,5,26,2,4,1,1,1,2,5,7,65,12,27,2,1,1,1,47616
2007,5,169,5,8,2,4,1,1,1,2,5,7,65,18,8,2,1,1,1,435398
2007,5,1273,5,1,2,4,1,1,1,2,5,7,65,13,13,2,1,1,1,317699
2007,5,1273,5,12,2,4,1,1,1,2,5,7,65,1,17,2,1,1,1,317699
2006,11,914,5,14,6,1,1,1,,,5,249,536,3,21,2,1,2,2,19646
1993,2,644,8,8,8,6,1,2,,,4,523,536,20,19,4,5,3,5,79646
2005,,743,6,12,8,5,1,2,,,7,67,798,26,14,3,4,4,4,143362
1993,2,914,8,1,8,6,1,2,,,4,523,536,16,11,4,5,3,5,16194
2007,1,1394,5,6,3,2,2,2,1,2,4,554,524,7,1,2,2,2,2,212389
2008,14,914,6,1,6,3,1,1,1,1,8,197,475,4,8,2,2,3,2,17796
1992,1,576,5,11,3,7,1,1,1,1,3,2,,3,22,4,5,3,5,5779
2005,,743,6,6,8,5,1,2,,,7,67,798,16,29,3,4,4,4,141592
1993,2,1451,8,2,8,6,1,2,,,4,523,536,4,28,4,5,3,5,19115
1993,2,914,8,16,8,6,1,2,,,4,523,536,7,28,4,5,3,5,15442
2008,14,1167,6,5,6,3,1,1,1,1,8,197,475,24,26,2,2,3,2,216814
1993,2,644,8,16,8,6,1,2,,,4,523,536,15,13,4,5,3,5,91592
1992,1,576,5,11,3,7,1,1,1,1,3,2,,19,29,4,5,3,5,61946
1993,2,644,8,11,8,6,1,2,,,4,523,536,21,16,4,5,3,5,97345
1993,2,914,8,12,8,6,1,2,,,4,523,536,5,22,4,5,3,5,123893
2005,,743,6,21,8,5,1,2,,,7,67,798,18,9,3,4,4,4,128318
1993,2,1451,8,4,8,6,1,2,,,4,523,536,20,8,4,5,3,5,165929
1992,1,355,5,1,3,7,1,1,1,1,3,2,,8,28,4,5,3,5,3853
1993,2,1761,8,2,8,6,1,2,,,4,523,536,13,2,4,5,3,5,168141
2008,14,914,6,11,6,3,1,1,1,1,8,197,475,13,17,2,2,3,2,173451
2005,,914,6,22,8,5,1,2,,,7,67,798,22,3,3,4,4,4,168584
1992,1,576,5,11,3,7,1,1,1,1,3,2,,8,19,4,5,3,5,61946
1993,2,914,8,4,8,6,1,2,,,4,523,536,29,7,4,5,3,5,11544
2007,16,1519,14,24,7,3,1,1,2,2,1,,127,7,19,3,2,3,2,39823
2006,11,93,3,9,3,3,1,1,,1,4,123,181,12,15,4,3,3,1,176991
1986,27,1377,8,1,7,5,,1,1,1,4,713,,21,2,3,1,1,1,163716
2006,11,93,3,13,3,3,1,1,,1,4,123,181,20,3,4,3,3,1,18973
2007,16,1643,14,33,7,3,1,1,2,2,1,,127,5,29,3,2,3,2,39823
2007,16,1387,14,11,7,3,1,1,2,2,1,,127,13,0,3,2,3,2,318584
2009,5,91,2,1,1,2,,1,1,,5,25,23,26,24,2,1,1,1,167256
2009,5,116,2,3,1,2,,1,1,,5,25,23,30,25,2,1,1,1,23539
2009,5,91,2,18,1,2,,1,1,,5,25,23,10,5,2,1,1,1,175221
1985,2,587,2,6,1,5,1,1,1,2,3,8,76,26,30,2,1,1,,66371
2007,5,1334,5,24,2,4,1,1,1,2,5,7,65,17,5,2,1,1,1,357522
2007,5,169,5,18,2,4,1,1,1,2,5,7,65,8,8,2,1,1,1,448672
1986,2,58,1,12,1,5,1,1,1,2,3,1,18,2,17,6,3,2,2,53982
2006,11,1437,5,31,6,1,1,1,,,5,249,536,3,18,2,1,2,2,261946
2005,,743,6,11,8,5,1,2,,,7,67,798,0,7,3,4,4,4,145132
1992,1,576,5,5,3,7,1,1,1,1,3,2,,21,24,4,5,3,5,55752
1993,2,644,8,7,8,6,1,2,,,4,523,536,7,7,4,5,3,5,9469
1993,2,644,8,1,8,6,1,2,,,4,523,536,19,15,4,5,3,5,9235
1993,2,914,8,3,8,6,1,2,,,4,523,536,26,6,4,5,3,5,16194
2005,,743,6,8,8,5,1,2,,,7,67,798,19,17,3,4,4,4,137168
1993,2,1451,8,7,8,6,1,2,,,4,523,536,30,28,4,5,3,5,17353
2007,1,1394,5,14,3,2,2,2,1,2,4,554,524,4,29,2,2,2,2,245132
1993,2,644,8,13,8,6,1,2,,,4,523,536,15,21,4,5,3,5,9646
1992,1,355,5,1,3,7,1,1,1,1,3,2,,14,20,4,5,3,5,38938
1992,1,355,5,2,3,7,1,1,1,1,3,2,,16,23,4,5,3,5,34513
2008,14,829,6,4,6,3,1,1,1,1,8,197,475,7,22,2,2,3,2,159292
1992,1,64,5,1,3,7,1,1,1,1,3,2,,12,27,4,5,3,5,6161
1992,1,64,5,1,3,7,1,1,1,1,3,2,,23,25,4,5,3,5,68141
1993,2,914,8,21,8,6,1,2,,,4,523,536,30,13,4,5,3,5,127876
2005,,743,6,16,8,5,1,2,,,7,67,798,21,4,3,4,4,4,14823
2005,,743,6,9,8,5,1,2,,,7,67,798,12,2,3,4,4,4,142477
1993,2,644,8,8,8,6,1,2,,,4,523,536,21,6,4,5,3,5,86725
1992,1,355,5,11,3,7,1,1,1,1,3,2,,16,19,4,5,3,5,38938
1993,2,914,8,14,8,6,1,2,,,4,523,536,30,7,4,5,3,5,135398
1986,27,914,8,6,7,5,,1,1,1,4,713,,22,30,3,1,1,1,133628
1986,27,1313,8,11,7,5,,1,1,1,4,713,,4,29,3,1,1,1,152212
2007,16,1643,14,43,7,3,1,1,2,2,1,,127,10,30,3,2,3,2,433628
1986,27,914,8,2,7,5,,1,1,1,4,713,,22,21,3,1,1,1,12923
2006,11,857,3,4,3,3,1,1,,1,4,123,181,30,20,4,3,3,1,15469
2007,16,868,14,14,7,3,1,1,2,2,1,,127,26,27,3,2,3,2,21544
1997,4,558,2,4,1,7,1,1,1,2,5,82,56,7,23,4,,,3,6461
1997,4,644,2,1,1,7,1,1,1,2,5,82,56,12,4,4,,,3,78318
2006,,91,3,1,3,2,1,1,,1,5,111,184,5,24,3,2,2,2,176991
2006,,91,3,12,3,2,1,1,,1,5,111,184,6,26,3,2,2,2,14617
2006,,811,3,12,3,2,1,1,,1,5,111,184,21,18,3,2,2,2,16926
2007,5,169,5,17,2,4,1,1,1,2,5,7,65,28,14,2,1,1,1,448672
2007,5,1483,5,16,2,4,1,1,1,2,5,7,65,20,1,2,1,1,1,383185
2007,5,1483,5,25,2,4,1,1,1,2,5,7,65,10,16,2,1,1,1,39385
2006,11,818,5,1,6,1,1,1,,,5,249,536,2,10,2,1,2,2,17796
2006,11,914,5,21,6,1,1,1,,,5,249,536,13,9,2,1,2,2,22654
1993,2,914,8,13,8,6,1,2,,,4,523,536,28,25,4,5,3,5,11544
1992,1,355,5,11,3,7,1,1,1,1,3,2,,21,14,4,5,3,5,3853
1992,8,914,4,18,3,5,1,1,,1,3,142,79,27,29,3,4,3,4,11619
1993,2,914,8,2,8,6,1,2,,,4,523,536,19,24,4,5,3,5,118584
1992,8,1448,4,6,3,5,1,1,,1,3,142,79,16,13,3,4,3,4,123893
1993,2,644,8,11,8,6,1,2,,,4,523,536,10,2,4,5,3,5,84955
1992,1,355,5,8,3,7,1,1,1,1,3,2,,8,21,4,5,3,5,39823
1993,2,644,8,1,8,6,1,2,,,4,523,536,24,6,4,5,3,5,88495
1993,2,1288,8,6,8,6,1,2,,,4,523,536,5,28,4,5,3,5,175221
1993,2,914,8,2,8,6,1,2,,,4,523,536,24,22,4,5,3,5,117699
1993,2,914,8,6,8,6,1,2,,,4,523,536,11,16,4,5,3,5,123893
2007,1,1394,5,6,3,2,2,2,1,2,4,554,524,14,24,2,2,2,2,233628
1992,8,644,4,18,3,5,1,1,,1,3,142,79,18,6,3,4,3,4,823
1992,8,914,4,9,3,5,1,1,,1,3,142,79,5,6,3,4,3,4,11769
2007,16,1643,14,22,7,3,1,1,2,2,1,,127,30,3,3,2,3,2,428318
1986,27,1377,8,6,7,5,,1,1,1,4,713,,8,30,3,1,1,1,18584
2007,16,868,14,8,7,3,1,1,2,2,1,,127,11,5,3,2,3,2,212389
1986,27,1377,8,1,7,5,,1,1,1,4,713,,23,20,3,1,1,1,155752
1986,27,1131,8,1,7,5,,1,1,1,4,713,,20,25,3,1,1,1,14617
1978,4,871,1,8,2,3,1,2,,1,3,87,,27,5,3,3,3,2,11544
2007,16,1643,14,1,7,3,1,1,2,2,1,,127,14,21,3,2,3,2,416814
2007,16,868,14,5,7,3,1,1,2,2,1,,127,3,3,3,2,3,2,19469
2007,16,868,14,4,7,3,1,1,2,2,1,,127,9,4,3,2,3,2,181415
1986,27,1313,8,1,7,5,,1,1,1,4,713,,9,16,3,1,1,1,132743
1997,4,558,2,5,1,7,1,1,1,2,5,82,56,10,17,4,,,3,65486
1997,4,914,2,7,1,7,1,1,1,2,5,82,56,23,0,4,,,3,114159
1997,4,914,2,1,1,7,1,1,1,2,5,82,56,5,24,4,,,3,115486
1997,4,558,2,7,1,7,1,1,1,2,5,82,56,25,5,4,,,3,61946
2009,5,91,2,4,1,2,,1,1,,5,25,23,10,28,2,1,1,1,16194
2009,5,91,2,5,1,2,,1,1,,5,25,23,2,19,2,1,1,1,168141
2007,5,1444,5,3,2,4,1,1,1,2,5,7,65,5,18,2,1,1,1,348672
2007,5,1444,5,9,2,4,1,1,1,2,5,7,65,22,2,2,1,1,1,371681
2007,5,1334,5,21,2,4,1,1,1,2,5,7,65,11,20,2,1,1,1,357522
2007,5,169,5,22,2,4,1,1,1,2,5,7,65,18,30,2,1,1,1,462831
2007,5,169,5,14,2,4,1,1,1,2,5,7,65,4,17,2,1,1,1,448672
2007,5,1334,5,12,2,4,1,1,1,2,5,7,65,6,11,2,1,1,1,347787
2007,5,169,5,13,2,4,1,1,1,2,5,7,65,10,30,2,1,1,1,448672
1986,2,451,1,5,1,5,1,1,1,2,3,1,18,2,24,6,3,2,2,4692
1986,2,58,1,7,1,5,1,1,1,2,3,1,18,25,5,6,3,2,2,56637
2006,11,818,5,16,6,1,1,1,,,5,249,536,15,8,2,1,2,2,1888
2006,11,818,5,17,6,1,1,1,,,5,249,536,17,8,2,1,2,2,141592
2006,11,818,5,22,6,1,1,1,,,5,249,536,2,20,2,1,2,2,165486
2006,11,818,5,24,6,1,1,1,,,5,249,536,3,27,2,1,2,2,174336
1993,2,914,8,5,8,6,1,2,,,4,523,536,29,16,4,5,3,5,131858
1992,1,576,5,12,3,7,1,1,1,1,3,2,,13,12,4,5,3,5,5397
1992,1,576,5,11,3,7,1,1,1,1,3,2,,22,18,4,5,3,5,6544
1993,2,914,8,3,8,6,1,2,,,4,523,536,3,14,4,5,3,5,11176
1993,2,644,8,1,8,6,1,2,,,4,523,536,25,7,4,5,3,5,9646
1992,1,64,5,15,3,7,1,1,1,1,3,2,,21,2,4,5,3,5,66371
1993,2,644,8,6,8,6,1,2,,,4,523,536,12,4,4,5,3,5,9235
1992,1,355,5,12,3,7,1,1,1,1,3,2,,25,28,4,5,3,5,38938
1993,2,644,8,2,8,6,1,2,,,4,523,536,30,15,4,5,3,5,8761
1992,1,64,5,2,3,7,1,1,1,1,3,2,,28,30,4,5,3,5,63716
