CurrentLoan,CreditScore,Income,Years,Debt,YearsofCreditHistory,Delinquent,OpenAccounts,CreditProblems,CreditBalance,MaxOpenCredit
129866,747,2803830,10,23598.95,24.5,0,15,0,650313,1037190
773784,710,5155137,10,101813.97,22.9,0,12,0,11796435,16677694
545226,,,10,12681.93,17.5,0,9,0,507528,693792
99999999,746,1103140,10,3649.52,18,28,5,0,135375,354640
246048,708,853803,6,20562.37,17.4,0,14,1,153311,305536
223366,,,1,15191.45,20.8,0,7,0,178182,377190
222706,724,953990,8,19715.92,16.8,0,10,0,522956,681142
441166,655,1134528,5,22406.89,18.5,0,12,0,372229,544874
446864,7410,1505123,10,37878.78,29,0,22,0,1133312,2123418
646602,721,2103414,4,17703.63,14.7,0,11,0,385529,1539274
655248,662,1274919,5,25881.04,13.2,0,10,0,456817,611490
265804,,,1,2812.76,9,0,12,0,104025,166144
313522,,,5,3024.99,9.7,0,16,0,108167,901098
471636,,,7,24605.19,16.4,0,17,0,471276,1018094
666270,664,1246742,1,25038.58,9.9,0,16,0,291555,1383602
333828,748,1364656,2,16489.53,13.7,0,13,0,348612,834020
314160,718,942115,1,15544.85,8.9,0,10,0,226613,377542
154704,722,648907,4,15735.99,14.5,0,10,0,264176,470602
99999999,730,1854172,1,19468.92,15.3,36,8,0,109250,413380
168454,721,1126320,9,8897.89,10.8,0,7,0,43472,134618
562650,747,1671582,10,12007.62,16,46,17,0,372248,1310144
297990,,,10,23219.52,30.1,0,15,0,648261,1108734
222222,670,1418160,10,29781.36,16.4,72,12,0,535515,753434
247588,,,10,26681.51,16.2,12,7,0,261896,346566
538032,,,1,11190.62,17.2,44,6,0,249052,420376
215688,684,2328450,2,20956.05,16.5,0,7,0,292771,355718
99999999,711,1043233,1,8154.61,15,0,8,0,283803,428428
335346,,,4,31318.84,21.6,57,9,0,392901,659318
123002,719,279528,0,2445.87,12,50,5,0,70813,103532
755766,723,6713460,9,64337.42,16.1,82,16,0,845557,904882
697884,686,1374935,2,16040.94,11.2,41,5,0,306869,422994
522610,,,1,20002.63,8.9,50,8,0,503614,652278
99999999,656,481612,5,6461.52,25.6,17,4,0,296172,363660
216810,730,1835001,6,6024.9,27.1,37,15,0,118655,477048
223960,742,1779464,3,19722.38,19.5,51,7,0,112119,239558
81158,746,2920680,10,7326.02,15.3,17,5,0,7163,11264
636394,692,1318695,10,15934.16,16,31,13,0,495767,841720
775082,732,1338778,5,27221.68,22.1,0,18,0,889276,1991660
328548,704,1172813,8,16028.4,13.5,38,7,0,350246,479930
99999999,741,1263044,10,13788.11,14,0,9,0,352545,530838
178794,,,10,6659.31,20.9,0,9,1,116565,180928
262570,747,2173201,5,32778.99,17,0,15,1,213807,477004
174020,718,788975,4,24918.69,13.5,0,14,0,379620,755260
299552,742,760912,6,10969.84,25.2,0,9,0,461757,848672
326546,654,658027,1,7485.05,16.2,0,4,0,240388,296098
460570,662,2367647,2,26044.06,25.9,15,19,0,366776,559548
450142,675,872537,5,14469.45,14.6,38,20,0,556263,1114366
214588,713,1667934,1,12620.75,22,76,9,0,89604,167332
266926,,,1,114938.98,29.5,0,14,0,1188222,1428702
248116,661,669655,2,8147.39,12.6,16,6,0,81605,170566
97922,737,1153110,10,8225.48,12.7,0,14,0,39254,510818
583286,626,1999465,10,38989.52,15.3,19,15,0,176567,655314
221914,,,1,41117.71,12,39,12,0,306432,690316
572528,653,1234943,10,40958.87,19,0,15,0,1030047,1633808
21604,697,1586576,8,17716.74,14,0,15,0,252035,319990
99999999,729,1125636,5,20899.24,9,0,7,0,117458,278146
155474,719,2109855,10,32878.55,21.9,16,18,0,258704,612590
396946,697,1619199,7,15922.19,19,70,13,1,347434,485276
185416,,,2,19117.61,15,0,12,0,400216,680460
368236,723,1403055,1,15901.29,16.2,0,12,0,100491,215908
241824,7130,1044278,10,4307.68,24.5,8,8,0,93119,131956
99999999,747,845348,1,11475.62,19.1,0,7,0,80674,142186
189750,,,7,9755.36,10.8,0,8,0,105545,201014
538714,742,1356999,10,23408.19,21.9,0,9,0,996816,1331264
99999999,683,1154250,10,7310.25,19.3,19,4,0,19570,22286
272492,702,932045,4,8466.21,4.7,0,9,0,19684,179476
142956,744,1329601,5,20276.42,10.5,0,10,0,39900,486398
366652,,,3,13926.24,17,0,7,0,216334,413336
93544,697,840940,8,7708.68,17.5,10,5,2,247,47410
222816,7320,788975,0,11440.09,28.7,6,21,0,179284,1037982
133364,,,10,16068.3,9.5,5,6,0,197828,240108
540254,,,10,28804.76,21.6,26,19,0,340898,907390
87956,6820,1215392,10,10533.41,5.9,0,5,0,351386,474738
197538,668,985720,3,18958.77,19.6,10,26,0,166896,520850
261778,715,1030199,2,14680.35,15.7,32,8,0,9538,37576
433884,725,2248308,7,14464.13,12,51,5,0,670149,2229766
258016,725,3416637,10,13267.89,27.6,15,11,0,230299,398024
555368,,,9,9194.86,14,54,9,0,231933,645590
99999999,743,2212322,2,13292.59,24.3,0,6,0,578379,1907994
765380,722,3720542,10,18757.75,25,0,15,0,941089,2063798
285758,746,934800,9,14723.1,12,0,8,0,127813,270534
260282,718,1873210,2,12612.96,16,49,11,0,237671,566258
552750,687,1088415,10,14240.12,14.3,30,10,0,87514,179014
27874,,,1,4920.43,12.6,18,9,0,31540,51282
99999999,658,801515,3,8549.43,12.8,0,12,0,319238,602998
91014,742,1092747,10,6866.03,24.5,0,10,0,187796,437514
216348,726,1681614,6,15695.14,8.8,0,10,0,230717,439384
411136,652,1112526,9,17893.06,14.5,0,8,0,363375,608014
308682,741,1134414,10,7978.67,14.7,6,10,0,343976,885082
191664,708,1128600,3,14295.6,50,0,10,0,167770,220000
99999999,738,1310449,10,30140.27,27,0,25,0,678756,2433222
99999999,746,2693516,10,4870.84,19.6,0,12,0,198702,1717012
140866,726,1197760,4,15970.07,28.8,15,6,0,408025,621654
553190,649,1547930,4,11983.68,13.6,0,6,0,133171,194700
112684,740,1557088,1,20890.88,13.9,0,11,0,559417,746262
99999999,733,945345,10,23318.32,17.4,0,19,0,612712,783926
390104,,,1,20825.52,25.3,0,9,0,413402,1184832
447920,,,10,22162.55,14.6,0,8,0,349999,993256
236126,719,926915,4,25181.08,6.9,0,11,0,116128,437976
108064,745,1362585,10,13285.18,28.7,16,6,0,177650,306988
495374,723,1333686,2,26340.46,14,38,12,0,379487,1029050
99999999,743,1119100,10,20050.32,16.5,19,10,0,239229,480898
247258,,,10,8007.93,32.4,0,14,0,1661037,7312932
98582,7420,793250,10,5030.63,16.9,16,4,0,40128,94050
540628,,,2,23101.72,16.4,0,8,0,576973,800096
99999999,745,2164252,5,32102.78,17,0,15,0,706838,1860100
618398,714,4100941,10,16403.65,26.1,0,30,0,637165,1901482
612920,737,5879455,7,85252.05,20.3,0,14,0,150328,455686
255420,,,10,2238.58,13.9,12,6,0,42123,312642
182490,722,469072,7,6801.43,6.3,0,10,0,186656,603702
769384,,,10,30598.74,43,0,16,0,1001490,2510002
316954,705,1976988,10,21746.83,14.2,0,9,0,307078,435754
758230,636,3180581,2,26292.77,28,33,9,3,168416,318648
234432,699,1483577,2,27816.95,13,27,29,0,14060,428428
87010,7470,732621,9,6050.36,24.8,53,7,0,8113,208824
110880,,,3,8572.99,35.1,19,11,0,110067,1036222
260084,745,1591098,4,31158.86,12.1,0,10,0,549556,797412
222640,724,1937240,2,14432.4,8,0,14,0,44479,271062
81092,,,6,1643.69,19.5,37,5,0,42750,139040
237908,724,939550,10,8847.54,25.6,33,4,0,136553,190278
322784,707,1523876,10,24255.21,12.2,57,14,3,224732,615186
314468,746,1163940,10,20388.33,23.4,0,9,0,357884,1485308
260040,740,1590775,1,33671.42,30.4,51,35,0,259027,1260226
243276,,,8,6143.84,35.9,0,6,0,299744,421718
178200,717,769500,3,8464.5,33,67,15,0,174724,569866
262372,723,2530211,10,35633.93,19.7,9,12,0,91276,205634
99999999,737,1452094,4,20934.39,9.9,0,11,0,270959,406934
221100,,,6,22858.33,11,0,16,0,223440,347270
253528,,,6,15016.65,21.4,0,23,0,243542,421520
99999999,728,1126776,10,17464.99,42,74,9,1,90934,206448
188122,731,537852,5,3697.59,24.7,0,5,0,97185,175274
760452,702,2251728,1,34338.89,19.8,50,10,0,579348,1724492
184558,737,1012567,1,17466.7,14.7,0,9,0,471257,597014
322168,737,1112906,4,16851.29,23.3,0,16,0,473423,1910040
99999999,745,579215,7,3214.61,14,0,7,1,93195,307450
660660,700,2035033,5,18654.39,16.4,64,7,0,130891,286484
765226,5880,2265864,2,45695,13.1,23,11,0,166763,558096
520806,751,2219960,10,11266.43,26.2,0,11,0,617519,1218096
99999999,742,2131477,6,17708.95,16,69,5,0,135603,352044
752444,,,10,13182.39,26.3,27,7,2,206663,318230
344696,709,788690,10,21623.14,14.1,76,11,0,197942,420552
178750,719,1466534,5,29452.66,19.8,0,11,0,419767,665830
310464,,,7,48008.44,20,0,17,0,767809,1376232
222530,669,672657,1,12555.96,19.7,0,9,0,219241,320540
120780,735,875463,10,19478.99,18.5,43,17,0,281295,846010
667392,707,1289948,0,12254.43,20.6,48,7,2,176852,273768
445764,,,10,32899.64,14.7,0,18,0,519574,1862564
26488,7170,91485,1,1052.22,13.9,0,7,0,0,0
257070,737,936795,10,19594.51,14.1,0,15,1,349942,650408
448228,713,1354871,3,20887.65,29.5,0,7,0,661333,848936
626406,,,5,54541.97,21.2,53,19,0,363432,1156078
270490,,,0,27981.11,29.6,0,23,0,1023682,17959172
175890,743,3740758,2,48629.74,18.5,2,16,0,322088,800294
266376,717,690156,10,13860.69,15.7,0,11,0,211394,259842
446710,7360,899574,1,21229.84,17.3,0,10,0,448343,994488
91300,712,834822,3,8209.14,13,0,7,2,52307,103202
403392,,,10,20920.9,15.4,0,11,0,910575,1913516
123574,,,2,33365.52,20.8,25,16,0,74822,1293006
163064,715,1032783,10,4526.94,16.5,0,8,1,81168,451902
354508,,,10,20391.94,26.5,25,10,0,91656,124278
259292,749,933090,2,12208.07,12.9,0,19,1,131347,416658
221914,,,1,11499.18,12.8,0,9,0,223611,317284
261536,,,4,7921.48,4,0,9,2,76817,344762
153252,745,1219610,5,17450.74,17,60,11,0,137864,323796
131472,7480,756960,10,10786.68,15.3,0,6,0,379810,782518
213048,719,1150032,1,21946.52,5.1,0,8,0,243010,499774
239470,740,1281683,5,33430.69,20.1,0,17,0,671213,1083962
77880,692,307458,6,4817.07,8.2,0,8,0,95969,491678
775236,714,7651680,10,91820.16,23,8,20,0,649192,2363812
49148,722,964820,9,18653.25,28.4,0,16,0,240825,362142
645128,699,1586348,4,35693.02,18.7,63,16,0,518605,936804
99999999,750,1341172,10,8672.93,41.1,0,9,0,362368,677820
99999999,724,737960,2,16727.22,15.1,10,14,0,142386,344212
346280,708,961590,1,14744.38,17,47,9,0,143659,465938
539990,718,2201188,5,16692.26,19.8,10,7,0,202882,397496
292556,729,816278,10,9183.08,12.5,0,11,0,291479,497068
405548,733,1167474,10,18485.1,30.4,19,16,0,485697,732248
334400,746,770108,1,7546.99,13,0,9,0,300466,1183336
161194,698,1020870,10,14632.28,14,49,11,0,357409,526526
449240,725,1532521,10,17113.3,21.5,13,27,0,367916,1036530
216942,,,10,13942.77,14,0,7,0,109231,318582
563706,703,1989756,10,29680.66,17,0,14,0,288211,460284
143198,722,1256128,1,35380.66,19.6,0,15,0,917662,1231230
99999999,747,1032251,2,19354.92,29.8,26,13,0,156921,829686
78782,7210,793687,6,10847.1,11.9,11,7,0,25042,74338
99999999,727,1361388,4,26887.47,23.8,0,14,0,176225,263626
239162,736,602224,5,10187.61,21.7,0,8,0,241414,344256
592020,601,2228662,10,32129.95,37.2,27,24,0,1528474,2618066
400950,720,1192725,1,15952.78,23.1,0,7,0,447203,670714
222860,705,921576,0,8755.01,27.4,65,15,1,93575,612172
150766,,,10,33551.53,28.7,12,13,0,113164,144298
242660,6670,467115,1,10081.59,22.9,24,19,0,254904,467742
755766,,,3,18667.12,16,58,23,0,198018,737198
433224,735,1889455,10,21098.74,14.6,12,8,0,161215,205832
86988,,,1,10424.73,21,0,14,0,454936,767888
190498,734,774212,1,948.48,8.4,0,8,0,30818,258544
215204,738,1338170,10,27321.05,15.1,0,14,0,340214,1033956
327932,,,1,25138.14,13.6,0,9,1,196612,265012
327272,702,1280695,10,25080.19,16.7,11,10,0,221407,267894
107250,,,0,4274.62,24.1,0,5,0,149226,308022
208296,707,787075,5,3410.69,19.8,3,8,0,104367,164868
242110,703,1213511,6,22854.53,15.4,48,21,0,233035,917774
380798,740,1392890,10,18804.11,14.3,28,10,0,191767,601766
99999999,663,963585,3,20957.95,14.8,0,17,0,326800,488906
403436,660,1780870,10,40514.65,19.8,0,14,1,550943,750530
750838,,,6,28701.4,17,74,11,0,459515,948442
773388,683,1717524,1,30915.47,30.7,0,13,0,731462,1297010
445544,740,1923940,1,11126.78,8,0,4,0,59907,245146
216634,,,1,8116.61,7.5,0,9,0,176415,376882
438900,709,1933155,0,23036.74,19.2,20,9,0,377036,504724
493350,6480,1123698,9,20039.3,11.8,0,10,0,183977,433840
150744,740,699523,10,15797.74,33.1,43,9,1,122379,222816
540364,7180,913900,3,11880.7,12.3,0,7,0,292429,500148
622908,742,1902071,10,28055.4,20.6,0,11,0,859883,1052502
65054,,,1,6263.35,13.5,46,9,0,42389,67232
123838,,,10,26255.72,34.5,20,11,1,50217,129206
398882,732,1317042,10,33584.78,23.4,0,12,0,417734,807510
99999999,739,1043898,10,3897.28,16.1,23,5,0,143260,215996
322388,720,1206481,10,18700.37,25.6,0,5,0,466089,556380
258082,,,4,8266.33,22.4,0,10,0,280022,450340
99999999,745,1073975,10,21748.16,18,0,13,0,617804,1499718
649044,7210,1251872,6,22116.38,16.5,0,20,0,437608,774796
449636,748,1472918,5,14851.92,22.1,0,15,0,543172,1158234
618222,692,2288208,5,33560.46,18.9,0,20,0,491986,865744
110528,725,763572,10,13489.81,29,7,14,0,149264,185614
278410,,,10,12608.59,25.7,8,8,0,235980,942216
259006,742,1714959,5,19293.36,15.5,16,8,0,173185,248204
99999999,720,1840568,9,43099.6,16.9,12,18,0,509428,1854930
612392,664,1261030,10,26166.42,16.6,0,8,0,151544,167772
25960,699,654094,1,2469.24,10.7,0,3,0,71269,149226
189926,678,1688701,9,11806.98,15.1,11,6,0,59356,258368
268488,729,2069518,1,8709.22,10,16,6,0,230546,420398
517660,683,1676484,1,36323.82,17,24,21,0,135451,338756
608234,,,1,20507.84,11.6,0,9,0,2174911,2952334
348590,741,1599344,10,39516.96,21,0,17,0,428526,817454
224444,730,969190,5,15103.29,26.6,40,5,0,52915,96492
409398,718,876793,4,11398.29,29.4,0,9,1,378708,607332
81092,679,2042880,6,24003.84,13.7,21,10,0,268451,374044
107954,651,1267832,8,3898.61,10.5,55,21,1,74613,599984
503404,687,1531666,0,31680.03,48.5,67,10,0,523336,923736
715836,683,1680778,10,28012.84,15.9,57,7,1,83353,319616
157762,,,10,28100.62,15.3,69,13,0,352260,737572
263626,732,853803,9,20775.93,11.4,18,7,0,236436,385572
357236,688,919847,1,9121.71,8.7,68,9,0,112993,288178
218988,704,472815,8,5673.78,10,0,26,0,171323,249546
365442,,,10,19516.42,8,0,9,0,177726,242946
99999999,740,991724,10,15950.31,20.7,0,9,0,690498,848760
117106,750,731633,5,5852.95,12.4,0,8,0,26961,511852
99999999,730,885704,2,17935.62,9,0,22,0,135755,616484
99999999,693,4755548,8,66141.66,40,0,16,0,883918,1596716
222112,707,1592143,3,3489.54,11.6,0,3,0,161044,231066
223036,,,5,21092.09,16.3,56,15,0,47994,104874
99999999,748,2949294,4,25068.98,11.4,0,13,0,110295,1140304
111166,737,3840280,10,59204.19,25.6,0,14,0,2229042,3178538
99999999,707,1328670,9,23141.05,10.3,9,17,0,435613,756228
533808,741,1285996,1,19322.05,25.3,0,9,0,312398,701008
235180,725,566808,10,3873.15,18.5,57,8,1,116052,394042
218724,745,1378963,0,11123.55,5,0,7,0,21755,181280
391358,725,3023204,4,22044.18,6.5,1,10,0,319713,1025442
437096,725,1404746,10,18027.58,27.8,25,14,0,289617,461274
151118,748,1733959,7,19001.33,18.5,0,7,0,1343034,11351032
99999999,726,1909842,10,21644.8,12.2,8,11,0,521721,612062
265870,703,765396,1,11225.96,19.6,34,13,0,208563,316932
406274,674,930715,1,16365.08,8.9,0,17,0,263834,325358
99999999,745,1377633,1,16474.33,23.4,0,6,0,55366,350350
157718,748,603193,1,8696.11,8.9,0,7,0,55632,194018
316492,663,854145,3,16798.28,24,0,10,0,333830,417450
260854,721,674595,3,6183.74,8,0,13,0,228228,575740
340340,694,1723338,1,28535.53,29.7,0,19,0,645563,829620
198330,716,675507,10,2837.08,8.9,0,4,0,81263,120604
145134,738,1329468,1,18180.53,13.9,0,13,0,147288,497200
61886,,,8,17683.3,14.2,0,21,0,234726,530838
136422,713,1158810,1,11395.06,10.3,38,4,0,41382,96228
435028,720,1822176,7,17523.32,11,0,10,0,204744,669680
72974,736,594871,3,12839.25,22,69,10,2,17309,116556
444620,716,858591,7,20105.42,16.2,0,11,0,603307,899052
789030,693,1654900,10,46750.64,25.4,0,21,0,1080074,2320252
224642,735,1119271,10,18001.74,32.7,0,19,0,213503,673618
99999999,720,3702568,10,24807.16,35,8,14,0,297673,664114
99999999,737,1788736,9,29961.29,34,0,10,0,315951,449988
77264,,,3,6078.48,11,43,17,0,40603,311410
244992,735,686185,7,9206.45,18.9,0,6,0,150043,216348
48972,723,394725,3,3651.23,10.7,0,7,0,91713,158972
267080,699,739499,3,13434.14,9.7,0,9,0,224542,313236
329054,,,10,28875.25,13.6,9,13,0,248045,697114
410498,707,1083361,8,20674.28,15.4,4,12,0,28386,172964
537966,681,1579641,3,14611.57,14.2,34,6,1,169271,253880
99999999,738,1456920,10,35573.13,20.9,0,16,0,662948,1168398
270886,746,797202,1,10031.43,19.9,30,6,0,169233,541310
222288,718,1242030,8,5464.97,11.9,0,4,0,160645,327470
99999999,734,965295,1,11100.94,6.2,32,27,0,136211,386540
286924,735,895850,7,8734.68,21.6,30,15,0,279965,516208
129668,738,447982,2,3602.4,16.8,0,3,0,63099,229020
269016,749,1064855,7,1916.72,31.4,32,8,0,76836,872322
304304,,,1,19142.31,11.4,0,13,0,169993,284834
266332,729,1164795,2,25528.4,16.6,25,17,0,88939,253000
111848,737,610052,6,6415.73,34.1,47,17,1,70243,212344
206954,,,4,13420.46,8,0,13,0,209551,456940
99999999,718,635531,10,5719.76,15.4,68,6,1,24301,145046
774928,601,2141623,10,44795.54,13.9,0,12,0,136059,188210
620070,744,3825080,2,84151.76,15.6,0,55,0,649021,4084212
99999999,745,1239579,10,14461.66,14.3,36,10,0,371184,1210682
177276,673,608608,5,8165.44,12.4,0,13,1,161557,393844
87406,740,962502,2,11550.1,21,27,11,0,296286,458634
178222,,,10,3366.04,26,42,3,0,54644,140272
544830,725,1070061,7,18101.87,20,12,10,0,352070,820226
214654,681,2224596,8,4782.87,15.2,0,9,1,100130,203742
449856,743,2136816,4,24573.46,14.6,25,12,0,397328,757944
202906,730,1460340,10,21418.32,18.4,0,9,0,338884,497948
224994,,,2,12081.91,25,45,14,0,441066,623590
99999999,613,1552984,10,9020.25,21,4,10,1,68134,229328
202488,,,5,28709.76,22.6,21,11,0,291574,468226
32956,722,227696,0,1802.72,17,71,8,0,59356,127490
608696,,,10,20314.61,23.4,80,6,0,208392,445214
251592,7100,980400,10,12908.6,16.5,67,8,0,108205,262636
550616,720,1331463,10,28404.43,20.4,0,18,0,629907,1338304
191642,745,808184,1,19261.63,12,30,17,0,370025,1071136
354992,699,1149690,5,24239.25,13.9,3,12,0,168663,390588
280874,7300,802370,5,6211.67,33.7,0,10,0,232218,390830
211728,,,1,19824.03,17,0,14,0,456760,702372
270358,709,778316,1,19198.55,10.3,43,12,0,211565,407616
99999999,736,1694211,7,29789.91,28,0,13,0,192071,346434
79376,731,906471,10,6458.67,16.1,47,6,0,435271,562496
378620,704,1588191,3,10958.44,32.1,34,8,0,224295,333366
293612,751,2535759,2,43107.96,15.9,58,22,0,642865,1815528
112354,704,1804810,6,26921.86,18.8,0,12,0,633783,1037982
99999999,731,563559,5,1296.18,13.3,0,5,0,27455,73964
661804,632,5251372,9,97150.42,14.9,0,33,1,513190,1140524
519684,,,4,6158.85,8.8,0,7,0,257127,375452
592152,742,1146745,10,1089.46,31.6,0,11,0,33060,1159928
492778,6680,1229452,6,26842.82,19,7,14,0,199082,282480
219318,673,1231181,6,8905.49,15.9,79,7,0,52801,168916
346258,735,1700823,7,20976.76,15.4,0,12,0,470782,808786
175252,747,851333,1,23411.42,15.7,0,15,0,201172,346126
279180,750,1041599,9,13280.43,28.2,0,11,0,117287,998646
217404,,,6,16335.82,14.7,0,10,0,297464,667502
517396,,,10,18743.31,13.5,0,14,0,50901,1178672
696124,693,1945600,5,30318.87,18.3,43,17,1,452827,1125146
87076,,,1,5310.69,11,15,8,0,52934,117656
460086,639,883006,1,9271.43,15.7,0,11,1,327408,972026
466708,734,1247597,2,3014.92,12.2,0,8,0,109288,714934
158708,720,1315826,10,30702.67,24.7,31,11,0,900030,1197856
266112,717,1907543,10,23685.21,18.4,19,17,0,238070,494934
347424,734,17815350,2,21081.64,11.7,10,6,0,17974,45628
188804,712,838584,6,11460.61,11.7,0,7,0,163115,233178
554466,743,2003189,10,29713.91,18.4,17,15,0,532285,1529374
190344,723,947967,10,19275.5,26,16,11,0,104215,154528
270798,738,1588134,10,15352.19,25.8,45,7,0,27018,279312
376486,709,836114,10,5016.57,18.7,15,12,0,170221,351934
99999999,714,766384,5,8813.34,24.6,52,9,0,134007,378444
162272,683,650522,2,19624.15,7.1,40,10,0,56430,276826
131274,,,2,9683.92,15.6,82,10,0,113886,260590
99999999,732,460921,10,3917.8,13.5,0,4,1,66329,144650
110352,735,686185,2,2418.89,13.1,22,9,0,92055,372724
103620,,,9,7584.42,10.4,41,6,0,122911,199606
542256,681,1592238,3,22755.54,10.8,18,7,0,296229,390214
487630,7190,957125,8,18265.27,19.5,0,11,0,529492,833030
181676,708,1834602,3,22626.91,14.3,0,8,1,147972,223674
741884,678,1367772,10,37385.54,18.8,0,14,1,385871,876062
99999999,725,1502444,10,26042.54,23.6,11,16,0,375212,822822
321926,,,8,4394.13,14.5,0,8,0,220305,660858
256234,747,663898,3,12392.56,10.6,0,13,0,249755,1129656
216854,,,1,11424.32,17.7,0,7,0,98591,396374
133276,705,556282,6,10198.63,13,0,7,0,216828,321860
322080,750,3523360,1,39050.51,24.7,28,16,0,354065,1242318
144298,746,1112032,2,10934.88,7,0,9,0,74024,361658
277596,727,802313,1,19456,9,0,14,0,148599,651750
130460,,,3,20027.14,27.9,47,18,1,145293,572264
99999999,710,1386335,1,25069.55,13.9,0,4,0,703665,823856
47278,719,622231,1,16696.44,4.3,0,7,0,36879,180202
405856,,,10,32264.85,22.7,0,13,0,338181,594198
133826,746,2942036,5,16205.67,29.3,35,7,1,55233,236852
622908,724,1254057,2,16407.26,16.3,0,9,0,519023,1251998
151316,,,6,4423.01,17.2,38,16,0,92283,272602
153208,651,3179289,1,34442.44,17.8,0,22,1,58957,355608
96954,750,899517,1,7218.67,13,0,8,0,722,93566
269368,740,1124363,1,24829.77,14.5,28,15,0,388873,683276
217404,741,1783701,1,21107.1,8.3,0,10,0,60363,563662
289608,653,1058167,7,17988.82,12.5,0,9,1,112214,176088
354530,743,1377842,7,7038.55,15.5,74,8,0,102182,199540
315150,711,916712,1,13292.21,15.5,0,6,0,273486,367796
99999999,729,1643405,10,24514.18,16.2,17,10,0,347092,459316
382316,699,786828,1,22752.5,14.9,0,6,0,124602,180114
389268,739,877819,9,12728.29,20,6,9,0,31787,125620
99999999,637,701252,3,17122.04,9.8,0,12,0,289883,351098
312840,743,868433,4,8047.45,24.7,0,13,0,306242,1071312
222486,751,1191319,4,426.93,14.5,0,10,0,418,489478
323048,7050,698706,7,17467.65,12.4,35,16,0,138681,348304
183238,751,1675629,10,6800.29,28.1,0,5,0,64144,863566
119570,748,722798,1,5071.67,15.8,0,6,0,100206,504526
107822,721,1303666,10,22488.21,30.2,78,11,2,49115,222134
135168,744,1795291,2,12058.16,23.7,56,11,0,34409,123772
354970,743,1430662,10,18002.69,17,15,16,0,188537,475596
417912,741,1293634,10,18973.21,15.3,0,10,0,424764,635470
282964,740,1710665,10,20955.67,25.2,11,5,0,218728,266574
359480,738,907250,10,18825.58,15.6,79,14,0,198797,269236
217250,,,10,22513.1,16.2,0,7,0,1406665,20108220
152306,751,838850,10,6235.42,20.9,0,8,0,31293,696630
176572,,,10,9993.62,15.1,53,7,0,121068,388322
479798,,,5,20404.29,16.7,15,13,0,421553,744084
138886,747,393566,6,7117.21,17.9,0,20,1,96729,805728
99999999,721,830490,3,21454.04,13.2,0,12,0,237500,308638
268114,725,1119195,10,7685.12,16.7,0,3,0,269857,384340
334818,712,579291,4,10668.69,5.6,0,6,0,189088,317284
649946,668,1577627,7,39966.5,24,80,12,0,458584,557194
99999999,678,969950,9,22551.29,27.9,0,12,0,613168,793276
222508,663,672581,5,13003.22,8.3,0,20,0,138016,887810
126016,721,537225,6,6760.2,12.5,0,10,0,131043,349646
389620,,,6,1867.13,16,41,7,0,17138,236302
624030,715,2033323,2,44733.22,14.5,64,17,0,253555,1019436
201674,,,10,13050.53,15.5,0,11,1,188442,596178
99999999,748,910537,10,11457.57,18.5,11,9,0,129428,494604
99999999,729,675469,2,11539.46,18.7,0,7,0,158992,337788
435160,,,10,11400,22.5,20,10,0,510644,1182544
340802,726,1132020,2,13301.33,15.5,42,12,1,225473,447832
312862,744,1745093,10,36210.58,23.8,2,21,0,417126,2367640
99999999,740,958265,1,17168.78,15.4,12,17,0,98705,137522
333168,709,1150944,8,14770.41,29.6,6,10,0,138434,255244
99999999,750,2463084,10,32020.13,21,11,11,0,287831,543708
322586,7190,1114350,7,18943.95,13.1,18,19,1,274778,372130
222068,715,1198672,6,31265.07,33,0,16,0,682575,1075294
439780,683,1117637,10,14436.01,26.8,0,17,1,447868,583330
315986,723,1345485,7,13342.75,15,0,10,2,62700,451000
215468,640,1246780,1,13299.05,11.8,25,7,0,104652,187594
99999999,684,1307390,10,2124.58,16.6,0,6,9,147801,296098
44660,738,1349950,10,17099.43,28.2,39,10,0,425999,536162
157872,745,1761167,10,36103.99,22.7,75,10,0,445284,751608
533236,747,2340952,9,22824.32,14.5,0,7,0,135033,878350
99924,,,0,8413.77,11.7,15,5,0,39083,71038
542586,724,1499480,10,28739.97,25.9,42,21,0,325470,1380390
403876,662,1317707,1,28111.26,20.5,44,12,0,180329,249172
163064,704,743660,5,21070.24,33.6,0,11,0,993757,1622940
435776,733,1693584,10,15806.86,12,0,12,0,370747,727584
322718,748,1114806,10,26383.78,22.3,0,13,0,244568,1236620
329472,,,6,24660.48,14.8,0,13,0,349752,1091596
329670,709,1081917,10,28310.19,14.9,0,14,0,300903,413292
266024,,,2,8488.06,23.4,0,6,0,248083,588610
442376,740,1489999,10,25081.71,18.2,0,10,0,577334,898502
131164,,,6,17487.79,12.7,63,4,0,21964,30602
539242,,,6,16280.53,15.2,73,9,0,381672,600446
402842,734,850459,2,14457.86,12,0,17,0,394649,658460
270600,742,779000,1,10581.29,10.3,0,10,0,255740,496034
98098,719,628311,10,13718.19,20.4,0,6,0,192679,262482
269148,,,5,7159.96,27.1,0,11,0,115596,367752
751146,700,1668105,4,42258.66,17.8,0,13,0,838128,1184942
99999999,717,2401847,7,16772.82,18,0,18,1,231572,433884
666072,742,1917480,10,44900.99,18.6,0,18,0,1384150,3522442
21626,714,854221,5,6428.08,11.4,0,9,0,155458,203390
546260,676,1226602,10,24225.38,18.6,0,11,0,528789,1015410
99999999,733,484937,1,11355.54,17.5,67,8,2,30514,195206
164956,,,10,18557.87,29.6,8,17,0,180880,386408
